Profile Profile,Stage Name Stage Name,Full Name Full Name,Korean Name Korean Name,K. Stage Name K. Stage Name,Date of Birth Date of Birth,Group Group,Country Country,Second Country Second Country,Height Height,Weight Weight,Birthplace Birthplace,Other Group Other Group,Former Group Former Group,Gender Gender,Position Position,Instagram Instagram,Twitter Twitter
,Kyungri,Park Kyungri,???,??,33059,9Muses,South Korea,,170,50,Busan,9MUSES A,,F,,gyeongree,
,Hyemi,Pyo Hyemi,???,??,33331,9Muses,South Korea,,171,46,Gwangju,9MUSES A,,F,,pyopyohyemi,
,Minha,Park Minha,???,??,33416,,South Korea,,172,47,Seoul,,9Muses,F,,blossomh_,
,Sojin,Jo Sojin,???,??,33522,9Muses,South Korea,,170,47,Gwangju,9MUSES A,,F,,josojin_1011,
,Keumjo,Lee Keumjo,???,??,33955,9Muses,South Korea,,167,48,Daegu,9MUSES A,,F,,keumjo_1217,
Profile,Sowon,Kim Sojung,???,??,35040,Gfriend,South Korea,,172,0,Seoul,,,F,,,
Profile,Yerin,Jung Yerin,???,??,35296,Gfriend,South Korea,,167,0,Incheon,,,F,,,
Profile,Eunha,Jung Eunbi,???,??,35580,VIVIZ,South Korea,,163,0,Seoul,,Gfriend,F,,,
Profile,Yuju,Choi Yuna,???,??,35707,Gfriend,South Korea,,169,0,Goyang,,,F,,,
Profile,SinB,Hwang Eunbi,???,??,35949,VIVIZ,South Korea,,165,0,Cheongju,,Gfriend,F,,,
Profile,Umji,Kim Yewon,???,??,36026,VIVIZ,South Korea,,163,0,Incheon,,Gfriend,F,,,
,Victoria,Song Qian,???,????,31810,f(x),China,,168,45,Qingdao,,,F,,victoria02_02,
,Amber,Amber Josephine Liu,?? ??? ??,??,33865,f(x),USA,Taiwan,167,0,Los Angeles,,,F,,ajol_llama,
,Luna,Park Sunyoung,???,??,34193,f(x),South Korea,,162,0,Seoul,,,F,,hermosavidaluna,
,Krystal,Krystal Jung,???? ?,????,34631,f(x),South Korea,,165,0,San Francisco,,,F,,vousmevoyez,
Profile,Irene,Bae Juhyun,???,???,33326,Red Velvet,South Korea,,161,0,Daegu,Red Velvet - IRENE SEULGI,,F,,,
Profile,Seulgi,Kang Seulgi,???,??,34375,Red Velvet,South Korea,,162,0,Seoul,Red Velvet - IRENE SEULGI,,F,,,
Profile,Wendy,Son Seunghwan,???,??,34386,Red Velvet,South Korea,,160,0,Seoul,,,F,,,
Profile,Joy,Park Sooyoung,???,??,35311,Red Velvet,South Korea,,163,0,Jeju,,,F,,,
Profile,Yeri,Kim Yerim,???,??,36224,Red Velvet,South Korea,,158,0,Seoul,,,F,,,
,BoA,Kwon Boa,???,??,31721,,South Korea,,0,0,Guri,,,F,,boakwon,
,Ailee,Lee Yejin,???,???,32658,,South Korea,USA,165,0,Denver,,,F,,aileeonline,
,G.NA,Gina Jane Choi,???,??,32033,,Canada,South Korea,167,0,Edmonton,,,F,,missginachoi87,
,Taeha,Yoo Taeha,???,??,34977,,South Korea,,162,0,,,Berry Good,F,,,
,Seoyul,Seo Yuri,???,??,35760,Berry Good,South Korea,,163,0,,,,F,,,
,Daye,Kim Hyunjung,???,??,35851,Berry Good,South Korea,,167,0,,,,F,,,
,Sehyung,Kang Sehyung,???,??,36142,Berry Good,South Korea,,169,0,,,,F,,,
,Gowoon,Moon Joojeong,???,??,36147,Berry Good,South Korea,,167,0,,,,F,,,
,Hyangsuk,Lee Hyangsuk,???,??,33352,2EYES,South Korea,,165,0,Seoul,,,F,,baby_sook,
,Daeun,Jung Daeun,???,???,34488,2EYES,South Korea,,161,0,Bucheon,,,F,,da.ni_jung,
,Dasom,Lee Dasom,???,??,34286,2EYES,South Korea,,164,0,Cheongju,,,F,,,
